geographic_area,indicator,sex,year,child_labour_percentage,Collection_Point,coverage_time,age_group
Nauru,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,0.4,End of fieldwork,2023,5 to 17 years old
Nauru,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,1.1,End of fieldwork,2023,5 to 17 years old
Nauru,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,0.7,End of fieldwork,2023,5 to 17 years old
Niger,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,39.4,End of fieldwork,2022,5 to 17 years old
Niger,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,45.2,End of fieldwork,2022,5 to 17 years old
Niger,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,42.4,End of fieldwork,2022,5 to 17 years old
Nigeria,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,27.6,End of fieldwork,2022,5 to 17 years old
Nigeria,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,28.7,End of fieldwork,2022,5 to 17 years old
Nigeria,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,28.1,End of fieldwork,2022,5 to 17 years old
North America (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,0.211,End of fieldwork,2020-24,5 to 17 years old
North America (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,0.513,End of fieldwork,2020-24,5 to 17 years old
North America (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,0.366,End of fieldwork,2020-24,5 to 17 years old
Northern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,5,End of fieldwork,2020-24,5 to 17 years old
Northern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,12,End of fieldwork,2020-24,5 to 17 years old
Northern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,8.6,End of fieldwork,2020-24,5 to 17 years old
Northern Africa and Western Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,5.95,End of fieldwork,2020-24,5 to 17 years old
Northern Africa and Western Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,10.6,End of fieldwork,2020-24,5 to 17 years old
Northern Africa and Western Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,8.325,End of fieldwork,2020-24,5 to 17 years old
Oceania (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,6.608,End of fieldwork,2020-24,5 to 17 years old
Oceania (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,6.858,End of fieldwork,2020-24,5 to 17 years old
Oceania (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,6.737,End of fieldwork,2020-24,5 to 17 years old
Pakistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2025,2.8,End of fieldwork,2024-25,10 to 17 years old
Pakistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2025,12.6,End of fieldwork,2024-25,10 to 17 years old
Pakistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2025,8,End of fieldwork,2024-25,10 to 17 years old
Panama,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,2.1,End of fieldwork,2024,10 to 17 years old
Panama,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,3.3,End of fieldwork,2024,10 to 17 years old
Panama,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,2.7,End of fieldwork,2024,10 to 17 years old
Paraguay,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,2.2,End of fieldwork,2024,10 to 17 years old
Paraguay,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,8,End of fieldwork,2024,10 to 17 years old
Paraguay,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,5.1,End of fieldwork,2024,10 to 17 years old
Peru,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,12.7,End of fieldwork,2024,5 to 17 years old
Peru,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,13.6,End of fieldwork,2024,5 to 17 years old
Peru,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,13.2,End of fieldwork,2024,5 to 17 years old
Philippines,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,0.7,End of fieldwork,2023,5 to 17 years old
Philippines,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,1,End of fieldwork,2023,5 to 17 years old
Philippines,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,0.8,End of fieldwork,2023,5 to 17 years old
Regional Economic Communities,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,18.8,End of fieldwork,2020-24,5 to 17 years old
Regional Economic Communities,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,20.8,End of fieldwork,2020-24,5 to 17 years old
Regional Economic Communities,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,19.8,End of fieldwork,2020-24,5 to 17 years old
Russian Federation,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,0,End of fieldwork,2024,5 to 17 years old
Russian Federation,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,0,End of fieldwork,2024,5 to 17 years old
Russian Federation,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,0,End of fieldwork,2024,5 to 17 years old
Rwanda,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,4.3,End of fieldwork,2024,5 to 17 years old
Rwanda,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,6.2,End of fieldwork,2024,5 to 17 years old
Rwanda,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,5.2,End of fieldwork,2024,5 to 17 years old
Samoa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,4.9,End of fieldwork,2022,5 to 17 years old
Samoa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,8.7,End of fieldwork,2022,5 to 17 years old
Samoa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,6.9,End of fieldwork,2022,5 to 17 years old
Senegal,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,4.7,End of fieldwork,2022,5 to 17 years old
Senegal,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,12.6,End of fieldwork,2022,5 to 17 years old
Senegal,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,8.6,End of fieldwork,2022,5 to 17 years old
South Asia (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,1.837,End of fieldwork,2020-24,5 to 17 years old
South Asia (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,4.231,End of fieldwork,2020-24,5 to 17 years old
South Asia (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,3.081,End of fieldwork,2020-24,5 to 17 years old
Southern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,14,End of fieldwork,2020-24,5 to 17 years old
Southern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,14.6,End of fieldwork,2020-24,5 to 17 years old
Southern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,14.3,End of fieldwork,2020-24,5 to 17 years old
Southern African Development Community (SADC),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,15.5,End of fieldwork,2020-24,5 to 17 years old
Southern African Development Community (SADC),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,16.2,End of fieldwork,2020-24,5 to 17 years old
Southern African Development Community (SADC),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,15.8,End of fieldwork,2020-24,5 to 17 years old
State of Palestine,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,3.3,End of fieldwork,2019-20,5 to 17 years old
State of Palestine,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,9.2,End of fieldwork,2019-20,5 to 17 years old
State of Palestine,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,6.3,End of fieldwork,2019-20,5 to 17 years old
Sub-Saharan Africa (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,20.656,End of fieldwork,2020-24,5 to 17 years old
Sub-Saharan Africa (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,21.975,End of fieldwork,2020-24,5 to 17 years old
Sub-Saharan Africa (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,21.322,End of fieldwork,2020-24,5 to 17 years old
Sub-Saharan Africa (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,20.761,End of fieldwork,2020-24,5 to 17 years old
Sub-Saharan Africa (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,22.14,End of fieldwork,2020-24,5 to 17 years old
Sub-Saharan Africa (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,21.457,End of fieldwork,2020-24,5 to 17 years old
Sudan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,15,End of fieldwork,2022,5 to 17 years old
Sudan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,15,End of fieldwork,2022,5 to 17 years old
Sudan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,15,End of fieldwork,2022,5 to 17 years old
Timor-Leste,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,3.5,End of fieldwork,2022,10 to 17 years old
Timor-Leste,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,3.8,End of fieldwork,2022,10 to 17 years old
Timor-Leste,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,3.7,End of fieldwork,2022,10 to 17 years old
Togo,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,27.8,End of fieldwork,2022,5 to 17 years old
Togo,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,23.7,End of fieldwork,2022,5 to 17 years old
Togo,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,25.7,End of fieldwork,2022,5 to 17 years old
Trinidad and Tobago,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,3,End of fieldwork,2022,5 to 17 years old
Trinidad and Tobago,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,5.4,End of fieldwork,2022,5 to 17 years old
Trinidad and Tobago,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,4.2,End of fieldwork,2022,5 to 17 years old
Tunisia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,1.2,End of fieldwork,2023,5 to 17 years old
Tunisia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,2.3,End of fieldwork,2023,5 to 17 years old
Tunisia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,1.7,End of fieldwork,2023,5 to 17 years old
Turks and Caicos Islands,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,2.2,End of fieldwork,2019-20,5 to 17 years old
Turks and Caicos Islands,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,5.7,End of fieldwork,2019-20,5 to 17 years old
Turks and Caicos Islands,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,4.1,End of fieldwork,2019-20,5 to 17 years old
Tuvalu,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,4,End of fieldwork,2019-20,5 to 17 years old
Tuvalu,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,3.4,End of fieldwork,2019-20,5 to 17 years old
Tuvalu,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,3.7,End of fieldwork,2019-20,5 to 17 years old
Türkiye,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,4.5,End of fieldwork,2022,5 to 17 years old
Türkiye,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,6.7,End of fieldwork,2022,5 to 17 years old
Türkiye,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,5.6,End of fieldwork,2022,5 to 17 years old
Uganda,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2021,39.6,End of fieldwork,2021,5 to 17 years old
Uganda,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2021,40.6,End of fieldwork,2021,5 to 17 years old
Uganda,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2021,40.1,End of fieldwork,2021,5 to 17 years old
United Republic of Tanzania,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2021,13,End of fieldwork,2020-21,5 to 17 years old
United Republic of Tanzania,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2021,16.9,End of fieldwork,2020-21,5 to 17 years old
United Republic of Tanzania,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2021,15,End of fieldwork,2020-21,5 to 17 years old
Uzbekistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,14.5,End of fieldwork,2021-22,5 to 17 years old
Uzbekistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,21.1,End of fieldwork,2021-22,5 to 17 years old
Uzbekistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,17.8,End of fieldwork,2021-22,5 to 17 years old
Vanuatu,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,27.4,End of fieldwork,2023,5 to 17 years old
Vanuatu,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,26,End of fieldwork,2023,5 to 17 years old
Vanuatu,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,26.7,End of fieldwork,2023,5 to 17 years old
Viet Nam,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,0.9,End of fieldwork,2023,5 to 17 years old
Viet Nam,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,1,End of fieldwork,2023,5 to 17 years old
Viet Nam,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,1,End of fieldwork,2023,5 to 17 years old
Western Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,24.3,End of fieldwork,2020-24,5 to 17 years old
Western Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,25.9,End of fieldwork,2020-24,5 to 17 years old
Western Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,25.1,End of fieldwork,2020-24,5 to 17 years old
World,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,6.942,End of fieldwork,2020-24,5 to 17 years old
World,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,8.6,End of fieldwork,2020-24,5 to 17 years old
World,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,7.796,End of fieldwork,2020-24,5 to 17 years old
Yemen,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,5.3,End of fieldwork,2022-23,5 to 17 years old
Yemen,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,10,End of fieldwork,2022-23,5 to 17 years old
Yemen,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,7.7,End of fieldwork,2022-23,5 to 17 years old
Zambia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,17.8,End of fieldwork,2023,5 to 17 years old
Zambia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,15.6,End of fieldwork,2023,5 to 17 years old
Zambia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,16.7,End of fieldwork,2023,5 to 17 years old
