geographic_area,indicator,sex,year,child_labour_percentage,Collection_Point,coverage_time,age_group
Bolivia (Plurinational State of),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,13.1,End of fieldwork,2023,10 to 17 years old
Bolivia (Plurinational State of),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,12.6,End of fieldwork,2023,10 to 17 years old
Brazil,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,1,End of fieldwork,2022,5 to 17 years old
Brazil,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,2,End of fieldwork,2022,5 to 17 years old
Brazil,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,1.5,End of fieldwork,2022,5 to 17 years old
Burkina Faso,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,20.2,End of fieldwork,2022,5 to 17 years old
Burkina Faso,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,16.7,End of fieldwork,2022,5 to 17 years old
Burkina Faso,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,18.4,End of fieldwork,2022,5 to 17 years old
Burundi,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,54.9,End of fieldwork,2020,5 to 17 years old
Burundi,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,52.2,End of fieldwork,2020,5 to 17 years old
Burundi,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,53.5,End of fieldwork,2020,5 to 17 years old
Cambodia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,7.1,End of fieldwork,2023,5 to 17 years old
Cambodia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,8.4,End of fieldwork,2023,5 to 17 years old
Cambodia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,7.8,End of fieldwork,2023,5 to 17 years old
Central Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,21.2,End of fieldwork,2020-24,5 to 17 years old
Central Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,21.5,End of fieldwork,2020-24,5 to 17 years old
Central Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,21.3,End of fieldwork,2020-24,5 to 17 years old
Central and Southern Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,2.149,End of fieldwork,2020-24,5 to 17 years old
Central and Southern Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,4.519,End of fieldwork,2020-24,5 to 17 years old
Central and Southern Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,3.38,End of fieldwork,2020-24,5 to 17 years old
Chile,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,3.6,End of fieldwork,2023,5 to 17 years old
Chile,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,4.6,End of fieldwork,2023,5 to 17 years old
Chile,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,4.1,End of fieldwork,2023,5 to 17 years old
Colombia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,0.7,End of fieldwork,2024,5 to 17 years old
Colombia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,1.6,End of fieldwork,2024,5 to 17 years old
Colombia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,1.1,End of fieldwork,2024,5 to 17 years old
Common Market for Eastern and Southern Africa (COMESA),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,18.1,End of fieldwork,2020-24,5 to 17 years old
Common Market for Eastern and Southern Africa (COMESA),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,20.2,End of fieldwork,2020-24,5 to 17 years old
Common Market for Eastern and Southern Africa (COMESA),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,19.1,End of fieldwork,2020-24,5 to 17 years old
